"","files","authors","commits","days","conflicts","complex","bic"
"11938",24,5,24,3,1,"FALSE","FALSE"
"11942",617,8,65,11,1,"TRUE","FALSE"
"11946",818,13,240,39,2,"TRUE","TRUE"
"11947",671,12,208,18,2,"TRUE","TRUE"
"11949",55,7,102,5,3,"TRUE","FALSE"
"11955",941,50,1055,276,1,"TRUE","FALSE"
"11958",122,2,2,0,183,"TRUE","FALSE"
"11967",639,6,86,6,1,"TRUE","TRUE"
"11970",370,17,272,59,9,"TRUE","TRUE"
"11974",6,5,8,10,1,"FALSE","FALSE"
"11977",2,2,2,0,3,"FALSE","FALSE"
"11980",4,2,2,0,3,"FALSE","FALSE"
"11982",195,9,118,9,3,"TRUE","FALSE"
"11996",2,2,2,0,3,"FALSE","FALSE"
"12000",1039,23,540,61,21,"TRUE","TRUE"
"12001",819,14,304,17,21,"TRUE","TRUE"
"12007",67,4,117,7,1,"TRUE","TRUE"
"12012",2,2,2,1,3,"FALSE","FALSE"
"12027",50,12,90,9,1,"TRUE","FALSE"
"12032",89,4,61,10,1,"TRUE","FALSE"
"12050",133,10,76,3,1,"TRUE","TRUE"
"12062",2,2,2,0,3,"FALSE","FALSE"
"12067",209,7,156,17,1,"TRUE","FALSE"
"12068",73,6,156,8,1,"TRUE","FALSE"
"12075",2,2,2,0,3,"FALSE","FALSE"
"12083",2,2,2,0,3,"FALSE","FALSE"
"12128",2,2,2,0,3,"FALSE","FALSE"
"12129",19,2,5,16,1,"FALSE","FALSE"
"12143",36,2,2,0,54,"TRUE","FALSE"
"12154",293,8,208,14,2,"TRUE","FALSE"
"12159",9,2,2,0,3,"FALSE","FALSE"
"12166",584,5,39,2,2,"TRUE","FALSE"
"12168",2,2,2,0,3,"FALSE","FALSE"
"12175",72,3,43,4,2,"TRUE","FALSE"
"12176",140,16,105,20,1,"TRUE","TRUE"
"12177",2,2,2,0,3,"FALSE","FALSE"
"12179",39,3,46,1,1,"FALSE","FALSE"
"12204",107,5,101,23,3,"TRUE","FALSE"
"12206",3,2,2,1,1,"FALSE","FALSE"
"12215",2,2,2,0,3,"FALSE","FALSE"
"12219",2,2,2,0,3,"FALSE","FALSE"
"12223",64,2,2,0,96,"TRUE","FALSE"
"12228",603,4,72,0,1,"TRUE","FALSE"
"12240",643,9,110,6,2,"TRUE","FALSE"
"12259",603,4,74,0,1,"TRUE","FALSE"
"12274",2,2,2,0,3,"FALSE","FALSE"
"12276",25,5,64,7,1,"FALSE","FALSE"
"12281",3,2,2,0,3,"FALSE","FALSE"
"12289",28,2,2,0,42,"FALSE","FALSE"
"12296",388,22,237,5,2,"TRUE","FALSE"
"12299",1133,13,143,8,2,"TRUE","FALSE"
"12301",260,10,124,8,1,"TRUE","FALSE"
"12304",615,31,281,6,2,"TRUE","FALSE"
"12306",136,6,16,0,1,"TRUE","FALSE"
"12307",733,28,142,8,7,"TRUE","FALSE"
"12309",187,10,49,4,1,"TRUE","FALSE"
"12310",563,25,330,6,2,"TRUE","FALSE"
"12311",139,6,38,4,1,"TRUE","FALSE"
"12312",650,17,283,6,2,"TRUE","FALSE"
"12313",248,11,99,5,1,"TRUE","FALSE"
"12314",185,6,121,1,1,"TRUE","FALSE"
"12315",275,7,36,9,1,"TRUE","FALSE"
"12316",100,9,30,2,1,"TRUE","FALSE"
"12318",376,13,119,4,2,"TRUE","FALSE"
"12320",537,32,120,13,3,"TRUE","FALSE"
"12321",607,16,123,7,2,"TRUE","FALSE"
"12328",866,38,375,20,9,"TRUE","TRUE"
"12330",2201,57,350,54,23,"TRUE","FALSE"
"12332",843,18,360,2,1,"TRUE","TRUE"
"12333",295,8,115,3,1,"TRUE","FALSE"
"12334",664,34,157,48,5,"TRUE","FALSE"
"12336",1810,12,152,26,4,"TRUE","FALSE"
"12341",195,12,38,4,1,"TRUE","FALSE"
"12343",250,4,140,4,1,"TRUE","FALSE"
"12347",575,8,136,13,5,"TRUE","FALSE"
"12348",273,5,138,3,1,"TRUE","FALSE"
"12351",509,14,149,8,2,"TRUE","FALSE"
"12355",244,5,134,1,1,"TRUE","FALSE"
"12356",104,5,58,2,1,"TRUE","FALSE"
"12358",236,12,44,8,1,"TRUE","FALSE"
"12359",1005,33,332,17,11,"TRUE","TRUE"
"12361",264,6,146,5,2,"TRUE","FALSE"
"12362",1384,24,157,7,14,"TRUE","FALSE"
"12363",462,11,46,5,19,"TRUE","FALSE"
"12368",277,8,55,1,2,"TRUE","FALSE"
"12370",2023,17,399,31,7,"TRUE","FALSE"
"12372",963,7,30,5,1,"TRUE","FALSE"
"12374",765,22,156,6,17,"TRUE","FALSE"
"12375",256,14,48,5,2,"TRUE","FALSE"
"12376",2686,62,399,91,25,"TRUE","FALSE"
"12377",271,12,102,5,1,"TRUE","FALSE"
"12381",118,6,9,1,2,"TRUE","FALSE"
"12382",551,9,97,22,6,"TRUE","FALSE"
"12384",429,15,63,8,1,"TRUE","FALSE"
"12385",1652,11,44,11,2,"TRUE","FALSE"
"12386",120,2,16,0,1,"TRUE","FALSE"
"12387",578,12,111,7,1,"TRUE","FALSE"
"12388",252,12,155,1,2,"TRUE","FALSE"
"12389",367,12,38,2,12,"TRUE","FALSE"
"12392",1198,19,354,16,2,"TRUE","FALSE"
"12394",296,6,136,4,2,"TRUE","FALSE"
"12397",493,14,311,3,1,"TRUE","FALSE"
"12400",992,45,177,35,1,"TRUE","FALSE"
"12401",624,28,123,8,5,"TRUE","FALSE"
"12402",1699,19,160,50,2,"TRUE","FALSE"
"12403",599,18,172,10,14,"TRUE","TRUE"
"12404",319,11,98,1,3,"TRUE","FALSE"
"12405",426,17,79,6,2,"TRUE","FALSE"
"12406",749,28,294,8,4,"TRUE","FALSE"
"12408",803,21,123,14,5,"TRUE","TRUE"
"12410",86,6,35,1,1,"TRUE","FALSE"
"12415",261,3,42,1,2,"TRUE","FALSE"
"12417",302,15,168,5,7,"TRUE","FALSE"
"12421",112,4,62,0,2,"TRUE","FALSE"
"12422",1727,38,233,48,2,"TRUE","FALSE"
"12423",1693,9,55,3,1,"TRUE","FALSE"
"12425",1094,23,357,4,9,"TRUE","FALSE"
"12426",549,17,277,2,1,"TRUE","FALSE"
"12430",791,24,122,18,2,"TRUE","FALSE"
"12431",343,7,74,25,1,"TRUE","FALSE"
"12434",147,7,11,1,1,"TRUE","FALSE"
"12436",888,4,130,1,2,"TRUE","FALSE"
"12442",1307,15,140,8,1,"TRUE","FALSE"
"12444",1756,14,303,13,12,"TRUE","FALSE"
"12445",710,25,108,10,3,"TRUE","FALSE"
"12447",995,7,122,6,1,"TRUE","FALSE"
"12448",4031,44,366,78,38,"TRUE","FALSE"
"12449",1380,18,445,17,1,"TRUE","TRUE"
"12451",153,3,16,1,2,"TRUE","FALSE"
"12455",237,13,109,2,2,"TRUE","TRUE"
"12456",177,5,97,3,2,"TRUE","FALSE"
"12460",424,16,122,7,1,"TRUE","FALSE"
"12462",130,14,29,5,1,"TRUE","FALSE"
"12471",583,3,125,2,3,"TRUE","FALSE"
"12472",297,12,35,9,1,"TRUE","FALSE"
"12474",1751,41,466,29,19,"TRUE","FALSE"
"12477",185,11,102,2,3,"TRUE","FALSE"
"12481",400,17,255,2,1,"TRUE","FALSE"
"12482",750,19,168,9,4,"TRUE","FALSE"
"12484",485,37,124,11,2,"TRUE","FALSE"
"12485",1141,15,279,12,4,"TRUE","FALSE"
"12488",1382,12,218,30,7,"TRUE","TRUE"
"12489",406,8,184,6,3,"TRUE","FALSE"
"12490",283,10,44,6,1,"TRUE","FALSE"
"12491",232,11,32,6,1,"TRUE","FALSE"
"12493",1186,19,328,28,3,"TRUE","FALSE"
"12494",1492,21,358,26,5,"TRUE","FALSE"
"12497",551,28,76,15,2,"TRUE","FALSE"
"12498",355,14,125,7,4,"TRUE","FALSE"
"12500",850,15,364,2,1,"TRUE","FALSE"
"12502",2256,16,117,10,7,"TRUE","FALSE"
"12504",89,11,34,2,2,"TRUE","FALSE"
"12506",596,9,130,8,4,"TRUE","FALSE"
"12508",707,9,153,9,5,"TRUE","FALSE"
"12511",116,8,28,2,1,"TRUE","FALSE"
"12512",1885,49,427,44,33,"TRUE","FALSE"
"12515",244,4,146,0,2,"TRUE","FALSE"
"12518",399,21,84,8,10,"TRUE","FALSE"
"12520",851,15,346,3,4,"TRUE","FALSE"
"12521",60,5,63,1,1,"TRUE","FALSE"
"12522",2238,23,100,6,2,"TRUE","FALSE"
"12526",902,10,350,4,1,"TRUE","FALSE"
"12529",308,12,136,5,8,"TRUE","FALSE"
"12531",998,12,33,2,4,"TRUE","FALSE"
"12532",264,10,170,1,5,"TRUE","FALSE"
"12536",820,8,157,17,3,"TRUE","FALSE"
"12537",752,9,128,16,1,"TRUE","FALSE"
"12540",185,8,53,2,1,"TRUE","FALSE"
"12541",1826,6,106,7,12,"TRUE","FALSE"
"12542",1025,37,201,23,7,"TRUE","FALSE"
"12545",443,15,141,4,1,"TRUE","FALSE"
"12546",335,6,147,3,2,"TRUE","FALSE"
"12548",824,14,80,19,1,"TRUE","FALSE"
"12550",493,13,45,9,3,"TRUE","TRUE"
"12551",1275,20,133,15,5,"TRUE","TRUE"
"12552",265,13,95,2,1,"TRUE","FALSE"
"12553",755,8,26,1,6,"TRUE","FALSE"
"12554",312,9,38,4,1,"TRUE","FALSE"
"12559",1254,38,445,21,11,"TRUE","FALSE"
"12560",316,6,52,1,3,"TRUE","FALSE"
"12566",187,11,31,3,8,"TRUE","FALSE"
"12567",1217,19,259,8,3,"TRUE","FALSE"
"12571",115,6,77,2,1,"TRUE","FALSE"
"12572",571,23,330,6,3,"TRUE","FALSE"
"12574",86,7,37,1,3,"TRUE","FALSE"
"12575",914,17,366,1,4,"TRUE","FALSE"
"12578",2611,18,131,30,3,"TRUE","FALSE"
"12582",767,8,160,36,1,"TRUE","FALSE"
"12584",1111,14,129,5,7,"TRUE","FALSE"
"12588",315,12,54,7,1,"TRUE","FALSE"
"12590",291,6,92,4,2,"TRUE","FALSE"
"12591",235,6,66,3,1,"TRUE","FALSE"
"12592",319,23,110,11,3,"TRUE","FALSE"
"12593",635,14,75,13,2,"TRUE","FALSE"
"12596",874,15,111,8,1,"TRUE","FALSE"
"12600",469,15,63,9,1,"TRUE","FALSE"
"12602",154,10,118,2,1,"TRUE","FALSE"
"12605",882,24,362,3,1,"TRUE","FALSE"
"12606",2539,27,361,75,14,"TRUE","FALSE"
"12607",336,11,51,8,1,"TRUE","FALSE"
"12609",254,12,77,7,2,"TRUE","FALSE"
"12613",1431,21,264,34,3,"TRUE","FALSE"
"12614",345,6,150,3,6,"TRUE","FALSE"
"12615",188,4,109,1,2,"TRUE","FALSE"
"12616",1154,15,395,1,2,"TRUE","FALSE"
"12617",1304,46,291,56,2,"TRUE","FALSE"
"12618",908,19,367,4,3,"TRUE","TRUE"
"12619",789,22,228,8,5,"TRUE","FALSE"
"12743",166,8,81,11,1,"TRUE","FALSE"
"12906",6,2,3,1,1,"FALSE","TRUE"
"12907",50,2,21,5,1,"TRUE","FALSE"
"12926",539,7,167,24,1,"TRUE","FALSE"
"12940",21,2,3,1,1,"FALSE","FALSE"
"12942",28,2,7,1,3,"FALSE","FALSE"
"12959",30,3,14,4,3,"FALSE","TRUE"
"12967",266,8,155,36,1,"TRUE","FALSE"
"12978",333,11,272,95,1,"TRUE","FALSE"
"12994",488,4,50,17,1,"TRUE","FALSE"
"13025",1091,6,108,40,6,"TRUE","FALSE"
"13057",55,3,8,3,1,"TRUE","FALSE"
"13060",19,4,19,4,1,"FALSE","FALSE"
"13069",86,5,33,11,2,"TRUE","FALSE"
"13108",172,2,2,0,2,"TRUE","FALSE"
"13123",700,5,166,35,1,"TRUE","FALSE"
"13148",13,2,4,1,3,"FALSE","FALSE"
"13173",35,2,13,19,1,"TRUE","FALSE"
"13223",475,6,129,19,1,"TRUE","FALSE"
"13225",77,7,55,7,1,"TRUE","FALSE"
"13248",8066,12,565,139,3,"TRUE","FALSE"
"13254",16,2,2,1,1,"FALSE","FALSE"
"13266",87,3,69,4,1,"TRUE","FALSE"
"13279",971,5,100,14,5,"TRUE","FALSE"
"13287",446,5,57,9,2,"TRUE","FALSE"
"13288",281,6,45,10,1,"TRUE","FALSE"
"13351",91,3,27,10,3,"TRUE","FALSE"
"13366",89,3,72,3,1,"TRUE","FALSE"
"13375",4,2,2,0,1,"FALSE","FALSE"
"13412",13,3,25,4,1,"FALSE","FALSE"
"13428",22,2,17,11,1,"FALSE","FALSE"
"13433",159,2,23,4,1,"TRUE","FALSE"
"13497",19,2,3,4,1,"FALSE","FALSE"
"13564",2,2,3,1,1,"FALSE","FALSE"
"13679",194,11,76,45,1,"FALSE","FALSE"
"13966",25,4,26,3,1,"FALSE","FALSE"
"14021",9,3,5,2,1,"FALSE","FALSE"
"14022",133,14,65,27,3,"TRUE","FALSE"
"14068",5,2,3,1,1,"FALSE","FALSE"
"14158",8,4,7,2,1,"FALSE","FALSE"
"14177",159,5,40,1,1,"TRUE","FALSE"
"14179",83,5,38,2,1,"TRUE","FALSE"
"14190",346,8,346,6,1,"TRUE","FALSE"
"14200",42,2,5,1,3,"FALSE","FALSE"
"14203",13,3,7,0,1,"FALSE","FALSE"
"14207",4,5,8,1,1,"FALSE","FALSE"
"14221",3224,5,32,1,7,"TRUE","TRUE"
"14225",80,3,44,2,3,"TRUE","FALSE"
"14244",169,5,44,4,4,"TRUE","FALSE"
"14260",6,2,3,0,1,"FALSE","FALSE"
"14263",4428,21,1048,47,40,"TRUE","FALSE"
"14264",4378,23,980,39,40,"TRUE","FALSE"
"14281",222,7,31,7,2,"TRUE","FALSE"
"14306",11,2,6,0,1,"FALSE","FALSE"
"14307",378,4,44,5,2,"TRUE","FALSE"
"14310",72,8,39,8,1,"FALSE","FALSE"
"14311",308,7,208,6,2,"TRUE","FALSE"
"14313",2,2,2,1,1,"FALSE","FALSE"
"14342",274,6,57,12,2,"TRUE","FALSE"
"14361",994,11,518,1,3,"TRUE","FALSE"
"14363",26,4,6,1,1,"FALSE","FALSE"
"14379",214,5,79,9,5,"TRUE","FALSE"
"14382",67,12,33,4,1,"TRUE","FALSE"
"14386",291,4,19,2,1,"TRUE","FALSE"
"14387",524,9,205,8,5,"TRUE","FALSE"
"14388",459,11,279,10,5,"TRUE","FALSE"
"14391",3002,5,52,1,6,"TRUE","FALSE"
"14397",63,3,25,0,1,"TRUE","FALSE"
"14400",10,3,8,0,1,"FALSE","FALSE"
"14411",458,9,82,43,30,"TRUE","FALSE"
"14412",835,59,317,83,53,"TRUE","TRUE"
"14419",72,8,39,8,1,"FALSE","FALSE"
"14420",62,2,6,5,2,"TRUE","FALSE"
"14435",931,9,466,4,3,"TRUE","FALSE"
"14437",421,8,34,2,2,"TRUE","FALSE"
"14443",983,10,498,2,1,"TRUE","FALSE"
"14470",912,8,443,0,1,"TRUE","FALSE"
"14481",181,3,8,0,6,"TRUE","FALSE"
"14495",943,13,383,28,16,"TRUE","FALSE"
"14505",278,11,166,3,2,"TRUE","FALSE"
"14507",257,19,143,75,14,"TRUE","FALSE"
"14521",4,5,8,1,1,"FALSE","FALSE"
"14522",159,9,111,21,5,"TRUE","FALSE"
"14524",49,3,18,1,1,"TRUE","FALSE"
"14531",969,19,514,15,4,"TRUE","FALSE"
"14532",1218,19,784,42,4,"TRUE","FALSE"
"14537",305,16,131,10,2,"TRUE","FALSE"
"14554",1462,15,79,17,2,"TRUE","FALSE"
"14575",246,10,140,3,1,"TRUE","FALSE"
"14584",160,8,15,4,1,"TRUE","FALSE"
"14592",326,8,108,5,9,"TRUE","FALSE"
"14601",96,14,105,0,1,"TRUE","FALSE"
"14602",329,15,189,3,1,"TRUE","FALSE"
"14609",289,3,22,4,1,"TRUE","FALSE"
"14617",82,4,34,1,1,"TRUE","FALSE"
"14624",390,13,138,12,15,"TRUE","FALSE"
"14629",180,5,25,1,1,"TRUE","FALSE"
"14639",53,2,4,0,2,"TRUE","FALSE"
"14652",171,6,99,2,1,"TRUE","FALSE"
"14682",1307,12,158,55,198,"TRUE","FALSE"
"14694",700,16,260,16,3,"TRUE","FALSE"
"14695",18,2,8,1,2,"FALSE","FALSE"
"14703",299,9,66,4,2,"TRUE","FALSE"
"14711",980,9,470,1,10,"TRUE","FALSE"
"14717",32,4,10,2,1,"FALSE","TRUE"
"14733",60,4,31,1,1,"TRUE","FALSE"
"14736",1095,11,487,2,1,"TRUE","FALSE"
"14739",48,9,49,6,1,"TRUE","FALSE"
"14744",386,38,166,59,11,"TRUE","TRUE"
"14753",23,3,11,1,1,"FALSE","FALSE"
"14755",2,2,2,1,1,"FALSE","FALSE"
"14762",211,22,42,7,1,"TRUE","TRUE"
"14765",30,2,3,1,3,"FALSE","FALSE"
"14771",163,5,48,5,1,"TRUE","FALSE"
"14776",125,23,39,8,2,"TRUE","TRUE"
"14782",521,3,54,11,2,"TRUE","FALSE"
"14803",188,15,134,4,1,"TRUE","FALSE"
"14806",296,5,93,1,1,"TRUE","FALSE"
"14817",7,2,4,0,1,"FALSE","FALSE"
"14822",120,7,89,21,2,"TRUE","FALSE"
"14833",832,9,303,7,5,"TRUE","FALSE"
"14845",67,5,10,1,1,"TRUE","FALSE"
"14850",12,3,5,0,1,"FALSE","FALSE"
"14865",43,2,7,0,2,"TRUE","FALSE"
"14875",139,7,49,2,3,"TRUE","FALSE"
"14876",47,3,12,1,1,"TRUE","FALSE"
"14885",38,4,7,0,3,"TRUE","FALSE"
"14890",38,4,24,4,1,"TRUE","FALSE"
"14891",6,2,2,3,1,"FALSE","FALSE"
"14897",146,4,11,1,1,"TRUE","FALSE"
"14903",41,11,29,11,1,"TRUE","FALSE"
"14905",79,6,44,2,3,"TRUE","FALSE"
"14909",166,5,48,5,1,"TRUE","FALSE"
"14915",51,7,14,4,2,"TRUE","FALSE"
"14925",228,8,117,5,1,"TRUE","FALSE"
"14931",222,19,61,21,5,"TRUE","FALSE"
"14937",210,4,51,0,1,"TRUE","FALSE"
"14938",149,6,61,5,1,"TRUE","FALSE"
"14944",297,7,103,1,1,"TRUE","FALSE"
"14946",101,3,46,0,2,"TRUE","FALSE"
"14961",140,5,37,2,1,"TRUE","FALSE"
"14965",114,14,34,16,1,"TRUE","FALSE"
"14975",160,11,64,4,2,"TRUE","FALSE"
"14977",308,6,25,3,7,"TRUE","FALSE"
"14985",436,5,324,0,6,"TRUE","FALSE"
"14987",1633,22,265,35,1,"TRUE","FALSE"
"14997",717,14,146,42,1,"TRUE","FALSE"
"15003",128,27,348,1,1,"TRUE","FALSE"
"15007",347,4,62,0,2,"TRUE","TRUE"
"15009",156,6,29,3,1,"TRUE","FALSE"
"15018",685,13,128,12,1,"TRUE","FALSE"
"15019",1081,12,137,17,4,"TRUE","FALSE"
"15020",312,9,53,3,10,"TRUE","FALSE"
"15031",200,7,46,7,1,"TRUE","FALSE"
"15037",131,3,9,0,2,"TRUE","FALSE"
"15041",385,40,270,4,1,"TRUE","FALSE"
"15043",380,48,393,14,5,"TRUE","FALSE"
"15050",457,12,152,6,1,"TRUE","FALSE"
"15057",358,4,51,0,1,"TRUE","FALSE"
"15059",766,13,104,11,10,"TRUE","FALSE"
"15060",105,8,85,3,1,"TRUE","FALSE"
"15063",204,31,335,6,4,"TRUE","FALSE"
"15064",139,8,86,2,1,"TRUE","TRUE"
"15070",111,9,28,4,1,"TRUE","TRUE"
"15073",725,44,303,6,2,"TRUE","FALSE"
"15076",3004,42,939,168,4,"TRUE","FALSE"
"15080",11,2,2,1,1,"FALSE","FALSE"
"15082",292,44,427,14,4,"TRUE","FALSE"
"15084",368,12,44,4,1,"TRUE","FALSE"
"15085",431,11,57,7,1,"TRUE","TRUE"
"15092",271,8,135,6,1,"TRUE","TRUE"
"15104",118,10,83,7,4,"TRUE","FALSE"
"15110",389,6,332,1,1,"TRUE","FALSE"
"15111",44,4,28,0,1,"FALSE","FALSE"
"15126",841,43,190,36,1,"TRUE","FALSE"
"15127",137,29,254,1,10,"TRUE","FALSE"
"15136",2692,12,39,2,3,"TRUE","FALSE"
"15142",132,28,263,2,1,"TRUE","FALSE"
"15148",220,8,42,4,1,"TRUE","FALSE"
"15153",1160,21,178,17,33,"TRUE","TRUE"
"15156",261,9,24,2,8,"TRUE","FALSE"
"15162",46,3,20,0,1,"TRUE","FALSE"
"15163",269,7,19,1,1,"TRUE","FALSE"
"15167",1780,15,866,147,54,"TRUE","TRUE"
"15169",520,12,100,6,5,"TRUE","FALSE"
"15170",386,16,51,3,1,"TRUE","FALSE"
"15173",358,14,46,6,1,"TRUE","FALSE"
"15174",326,13,105,11,6,"TRUE","FALSE"
"15179",456,11,299,2,2,"TRUE","FALSE"
"15190",171,38,333,7,1,"TRUE","FALSE"
"15191",136,8,46,1,1,"TRUE","TRUE"
"15197",358,8,66,4,6,"TRUE","FALSE"
"15200",1516,26,432,29,6,"TRUE","TRUE"
"15203",290,9,29,3,2,"TRUE","FALSE"
"15213",922,19,327,51,10,"TRUE","FALSE"
"15217",4320,65,796,84,196,"TRUE","FALSE"
"15218",438,10,361,4,4,"TRUE","FALSE"
"15219",1270,17,214,29,31,"TRUE","TRUE"
"15221",89,5,23,1,1,"TRUE","FALSE"
"15224",319,8,23,2,1,"TRUE","FALSE"
"15229",51,5,18,2,1,"FALSE","TRUE"
"15233",695,16,98,7,4,"TRUE","FALSE"
"15241",245,10,22,3,1,"TRUE","FALSE"
"15248",64,3,4,1,4,"TRUE","FALSE"
"15249",41,7,9,1,1,"TRUE","FALSE"
"15264",1260,19,261,19,2,"TRUE","FALSE"
"15267",3,2,2,1,1,"FALSE","FALSE"
"15269",463,6,34,12,6,"TRUE","FALSE"
"15270",423,11,67,11,7,"TRUE","FALSE"
"15278",299,8,28,2,1,"TRUE","FALSE"
"15285",252,11,89,5,1,"TRUE","FALSE"
"15286",232,37,300,7,2,"TRUE","FALSE"
"15290",25,2,4,0,1,"FALSE","TRUE"
"15296",55,25,245,0,1,"FALSE","FALSE"
"15313",53,2,19,0,1,"FALSE","TRUE"
"15315",228,20,58,16,1,"TRUE","FALSE"
"15323",65,9,33,5,1,"TRUE","FALSE"
"15330",809,16,274,33,22,"TRUE","TRUE"
"15332",301,7,80,9,1,"TRUE","FALSE"
"15336",983,17,96,8,3,"TRUE","FALSE"
"15338",364,7,231,0,1,"TRUE","FALSE"
"15340",72,6,28,1,2,"TRUE","FALSE"
"15342",111,5,46,0,1,"TRUE","FALSE"
"15345",279,8,68,2,3,"TRUE","TRUE"
"15346",118,8,16,1,1,"TRUE","FALSE"
"15351",1459,6,28,1,1,"TRUE","FALSE"
"15353",122,16,87,7,1,"TRUE","FALSE"
"15355",454,15,271,3,1,"TRUE","FALSE"
"15372",736,18,266,37,10,"TRUE","TRUE"
"15374",161,5,8,1,1,"TRUE","FALSE"
"15376",694,22,250,15,2,"TRUE","FALSE"
"15378",388,12,86,7,6,"TRUE","TRUE"
"15381",245,9,74,3,1,"TRUE","FALSE"
"15386",61,5,29,1,2,"TRUE","FALSE"
"15393",354,9,53,4,1,"TRUE","TRUE"
"15400",177,11,79,4,1,"TRUE","FALSE"
"15401",188,4,33,2,3,"TRUE","TRUE"
"15404",278,6,37,2,2,"TRUE","TRUE"
"15408",427,48,414,12,1,"TRUE","FALSE"
"15410",28,5,9,1,1,"FALSE","FALSE"
"15417",327,39,331,8,4,"TRUE","FALSE"
"15426",128,6,81,1,1,"TRUE","FALSE"
"15427",158,40,295,3,1,"TRUE","FALSE"
"15431",356,11,52,4,1,"TRUE","FALSE"
"15433",745,18,52,9,81,"TRUE","TRUE"
"15435",5377,21,109,13,1,"TRUE","TRUE"
"15437",87,6,55,0,2,"TRUE","FALSE"
"15442",341,19,165,14,2,"TRUE","FALSE"
"15451",546,12,130,8,11,"TRUE","TRUE"
"15452",815,16,295,36,12,"TRUE","FALSE"
"15455",1304,16,288,35,13,"TRUE","TRUE"
"15457",709,8,78,10,1,"TRUE","FALSE"
"15464",159,36,309,5,2,"TRUE","FALSE"
"15470",1559,21,284,29,2,"TRUE","FALSE"
"15475",243,10,72,13,4,"TRUE","FALSE"
"15477",5397,8,23,2,2,"TRUE","FALSE"
"15481",1435,42,579,8,2,"TRUE","FALSE"
"15489",319,12,141,9,2,"TRUE","FALSE"
"15491",275,15,72,6,1,"TRUE","TRUE"
"15492",282,21,82,8,1,"TRUE","FALSE"
"15498",75,14,30,6,1,"FALSE","FALSE"
"15518",268,45,402,16,1,"TRUE","FALSE"
"15523",36,5,17,1,1,"TRUE","TRUE"
"15542",247,31,251,3,2,"TRUE","FALSE"
"15546",295,8,86,4,2,"TRUE","TRUE"
"15550",207,7,30,1,1,"TRUE","TRUE"
"15554",510,11,105,13,1,"TRUE","FALSE"
"15560",138,6,27,4,1,"TRUE","FALSE"
"15564",223,8,65,2,3,"TRUE","TRUE"
"15575",341,17,165,3,2,"TRUE","FALSE"
"15580",433,18,143,18,2,"TRUE","FALSE"
"15583",702,49,360,15,1,"TRUE","FALSE"
"15585",528,10,89,19,2,"TRUE","TRUE"
"15586",302,10,101,13,7,"TRUE","FALSE"
"15588",413,12,236,3,2,"TRUE","FALSE"
"15592",279,8,26,1,18,"TRUE","FALSE"
"15597",389,9,178,170,25,"TRUE","FALSE"
"15606",240,2,8,2,5,"TRUE","FALSE"
"15607",15,2,4,10,1,"FALSE","FALSE"
"15608",15,2,4,26,1,"FALSE","FALSE"
"15611",122,3,10,0,82,"TRUE","FALSE"
"15629",14,2,3,0,7,"FALSE","FALSE"
"15641",185,6,42,146,7,"TRUE","FALSE"
"15649",390,9,182,170,25,"TRUE","FALSE"
"15652",208,8,116,1,5,"TRUE","FALSE"
"15653",197,10,252,3,5,"TRUE","FALSE"
"15665",34414,56,639,27,2,"TRUE","FALSE"
"15691",28784,16,104,8,1,"TRUE","FALSE"
"15694",2097,31,248,113,1,"TRUE","FALSE"
"15714",25686,18,215,20,7,"TRUE","FALSE"
"15761",755,22,184,45,1,"TRUE","FALSE"
"15765",1375,22,93,53,1,"TRUE","FALSE"
"15781",93,12,36,11,1,"TRUE","FALSE"
"15816",298,8,38,2,1,"TRUE","FALSE"
"15868",1573,16,121,20,2,"TRUE","FALSE"
"15895",34463,58,654,54,1,"TRUE","FALSE"
"15940",2,2,2,0,1,"FALSE","FALSE"
"15952",7,4,9,1,1,"FALSE","FALSE"
"15976",1963,31,210,98,2,"TRUE","FALSE"
"15984",56869,23,311,23,3,"TRUE","FALSE"
"16040",334,14,155,13,1,"TRUE","FALSE"
"16042",34367,54,587,57,1,"TRUE","FALSE"
"16058",7254,18,84,43,4,"TRUE","FALSE"
"16072",19932,12,54,2,1,"TRUE","FALSE"
"16082",39064,28,270,86,9,"TRUE","FALSE"
"16095",37,2,16,2,1,"FALSE","FALSE"
"16146",77,8,21,7,1,"TRUE","FALSE"
"16267",115,7,21,4,1,"TRUE","FALSE"
"16288",25289,12,67,12,1,"TRUE","FALSE"
"16299",96,8,52,1,1,"TRUE","FALSE"
"16305",1129,15,78,9,4,"TRUE","FALSE"
"16400",2016,31,253,0,2,"TRUE","FALSE"
"16411",26,5,17,1,1,"FALSE","FALSE"
"16419",392,19,112,7,1,"TRUE","FALSE"
"16463",139,19,48,23,3,"TRUE","TRUE"
"16466",32,2,2,2,1,"TRUE","FALSE"
"16498",236,3,26,3,1,"TRUE","FALSE"
"16511",710,28,217,56,1,"TRUE","FALSE"
"16512",47,5,15,6,1,"TRUE","FALSE"
"16541",98,5,20,2,1,"TRUE","FALSE"
"16559",505,20,126,21,5,"TRUE","TRUE"
"16593",151,2,4,4,1,"TRUE","FALSE"
"16609",169,2,2,1,8,"TRUE","TRUE"
"16614",269,3,6,18,129,"TRUE","FALSE"
"16617",2428,3,39,6,1,"TRUE","TRUE"
"16622",171,4,43,7,2,"TRUE","FALSE"
