"","files","authors","commits","days","conflicts","complex","bic"
"8778",17,7,14,4,1,"FALSE","FALSE"
"8801",855,6,36,12,5,"TRUE","FALSE"
"8854",7,2,3,0,1,"FALSE","FALSE"
"8906",1721,27,330,131,7,"TRUE","FALSE"
"8925",2,2,2,0,1,"FALSE","FALSE"
"8933",18,2,6,0,1,"FALSE","FALSE"
"9041",243,8,42,17,3,"TRUE","FALSE"
"9055",1673,14,431,78,45,"TRUE","TRUE"
"9112",114,5,30,3,1,"TRUE","FALSE"
"9126",1640,5,11,1,1,"TRUE","FALSE"
"9134",69,8,23,13,1,"TRUE","FALSE"
"9142",688,5,14,0,7,"TRUE","FALSE"
"9150",211,5,15,9,2,"TRUE","FALSE"
"9169",26,3,7,1,2,"FALSE","FALSE"
"9183",21,4,4,1,1,"FALSE","FALSE"
"9201",160,8,51,19,2,"TRUE","TRUE"
"9212",33,4,12,7,3,"FALSE","FALSE"
"9213",774,18,299,102,5,"TRUE","FALSE"
"9216",80,11,40,7,1,"TRUE","FALSE"
"9222",25,5,11,0,1,"FALSE","FALSE"
"9233",298,17,110,50,10,"TRUE","FALSE"
"9246",144,12,86,18,1,"TRUE","FALSE"
"9260",83,6,44,6,1,"TRUE","FALSE"
"9298",184,11,64,15,8,"TRUE","TRUE"
"9322",57,8,33,4,1,"FALSE","FALSE"
"9342",66,5,13,1,1,"TRUE","FALSE"
"9345",363,19,187,46,8,"TRUE","FALSE"
"9351",67,6,18,9,1,"TRUE","FALSE"
"9385",144,8,42,12,1,"TRUE","FALSE"
"9390",180,15,83,52,3,"TRUE","FALSE"
"9392",42,3,3,3,1,"FALSE","FALSE"
"9410",270,4,9,13,1,"TRUE","FALSE"
"9415",1844,55,465,917,1,"TRUE","FALSE"
"9420",913,18,207,94,2,"TRUE","FALSE"
"9477",78,3,22,4,2,"TRUE","FALSE"
"9485",32,3,4,1,1,"FALSE","FALSE"
"9490",61,8,37,5,1,"TRUE","FALSE"
"9497",7,3,6,0,1,"FALSE","FALSE"
"9513",304,5,35,15,1,"TRUE","FALSE"
"9531",91,2,2,3,1,"TRUE","FALSE"
"9585",70,6,23,14,1,"TRUE","FALSE"
"9594",73,2,7,85,4,"TRUE","FALSE"
"9599",102,12,54,76,1,"TRUE","FALSE"
"9624",65,6,20,7,3,"TRUE","FALSE"
"9650",162,15,61,32,1,"TRUE","FALSE"
"9674",84,6,26,7,4,"TRUE","FALSE"
"9714",140,3,7,51,2,"TRUE","FALSE"
"9728",91,11,57,2,1,"TRUE","FALSE"
"9791",28,6,18,0,2,"FALSE","FALSE"
"9808",19,2,2,0,1,"FALSE","FALSE"
"9816",37,7,11,3,1,"FALSE","TRUE"
"9817",53,4,6,7,1,"TRUE","FALSE"
"9824",97,10,51,3,1,"TRUE","FALSE"
"9881",55,5,16,7,1,"TRUE","FALSE"
"9902",406,9,38,27,2,"TRUE","FALSE"
"9907",195,9,42,9,5,"TRUE","FALSE"
"9929",36,5,16,2,2,"FALSE","FALSE"
"9936",6,4,9,2,1,"FALSE","FALSE"
"9947",327,8,42,66,2,"TRUE","FALSE"
"9951",514,17,80,348,17,"TRUE","FALSE"
"9959",41,4,4,0,1,"TRUE","FALSE"
"10013",31,6,22,212,1,"FALSE","FALSE"
"10014",57,6,17,5,2,"TRUE","FALSE"
"10034",477,12,143,58,3,"TRUE","FALSE"
"10037",77,11,50,5,3,"TRUE","FALSE"
"10038",51,8,37,15,4,"TRUE","FALSE"
"10039",106,6,40,18,2,"TRUE","FALSE"
"10052",124,12,48,30,5,"TRUE","FALSE"
"10092",76,8,42,8,2,"TRUE","FALSE"
"10099",200,13,57,10,3,"TRUE","TRUE"
"10105",44,5,10,4,3,"TRUE","FALSE"
"10119",35,8,24,1,3,"FALSE","FALSE"
"10152",49,5,18,16,3,"TRUE","FALSE"
"10174",22,5,9,0,1,"FALSE","FALSE"
"10185",69,10,65,64,2,"TRUE","FALSE"
"10187",192,7,14,25,2,"TRUE","FALSE"
"10222",219,3,13,11,1,"TRUE","FALSE"
"10277",304,18,83,114,1,"TRUE","FALSE"
"10296",90,6,23,2,3,"TRUE","FALSE"
"10322",677,15,210,65,2,"TRUE","FALSE"
"10328",100,5,19,5,3,"TRUE","FALSE"
"10348",82,5,16,2,3,"TRUE","FALSE"
"10363",277,13,115,33,9,"TRUE","FALSE"
"10376",32,5,5,1,1,"FALSE","TRUE"
"10423",390,19,189,49,1,"TRUE","FALSE"
"10429",546,8,109,18,3,"TRUE","FALSE"
"10431",232,11,79,8,1,"TRUE","FALSE"
"10434",31,2,5,0,2,"FALSE","TRUE"
"10446",483,11,448,12,1,"TRUE","FALSE"
"10449",315,4,82,5,2,"TRUE","FALSE"
"10453",163,4,82,15,1,"FALSE","FALSE"
"10455",618,15,636,47,1,"TRUE","FALSE"
"10456",247,6,122,20,2,"TRUE","FALSE"
"10458",119,8,39,15,13,"TRUE","FALSE"
"10459",48,3,51,1,1,"TRUE","FALSE"
"10465",430,11,287,59,7,"TRUE","FALSE"
"10468",148,10,90,34,1,"TRUE","FALSE"
"10469",171,10,101,54,14,"TRUE","FALSE"
"10471",258,11,355,8,4,"TRUE","FALSE"
"10472",221,9,225,7,4,"TRUE","FALSE"
"10474",419,9,222,40,1,"TRUE","FALSE"
"10476",372,7,169,14,3,"TRUE","FALSE"
"10482",272,7,115,25,1,"TRUE","FALSE"
"10485",55,2,7,0,1,"FALSE","FALSE"
"10490",658,12,483,30,58,"TRUE","FALSE"
"10493",274,11,335,24,2,"TRUE","FALSE"
"10494",212,9,301,11,2,"TRUE","FALSE"
"10497",109,5,60,44,1,"TRUE","FALSE"
"10498",906,7,220,29,29,"TRUE","FALSE"
"10500",741,15,563,137,26,"TRUE","FALSE"
"10501",447,14,325,33,1,"TRUE","FALSE"
"10508",79,3,42,10,1,"TRUE","FALSE"
"10515",650,9,294,143,16,"TRUE","FALSE"
"10522",185,4,18,3,1,"TRUE","FALSE"
"10532",220,3,79,33,5,"TRUE","FALSE"
"10533",22,2,5,1,1,"FALSE","FALSE"
"10534",308,11,218,51,7,"TRUE","FALSE"
"10535",1251,24,1026,44,7,"TRUE","FALSE"
"10537",94,3,74,25,1,"TRUE","FALSE"
"10539",158,8,19,7,1,"TRUE","FALSE"
"10552",397,4,56,14,19,"TRUE","FALSE"
"10562",42,2,33,6,1,"TRUE","FALSE"
"10563",1072,14,746,89,2,"TRUE","FALSE"
"10574",55,2,7,14,1,"TRUE","FALSE"
"10577",106,6,55,9,1,"TRUE","FALSE"
"10578",82,6,37,8,1,"TRUE","FALSE"
"10579",777,14,550,34,37,"TRUE","FALSE"
"10584",71,5,34,2,1,"TRUE","FALSE"
"10585",532,9,503,54,14,"TRUE","FALSE"
"10591",324,6,269,39,2,"TRUE","FALSE"
"10596",2,2,2,0,1,"FALSE","FALSE"
"10613",21,3,28,11,1,"FALSE","FALSE"
"10617",295,9,290,24,9,"TRUE","TRUE"
"10619",133,3,36,1,1,"TRUE","FALSE"
"10620",179,4,101,0,2,"TRUE","FALSE"
"10621",470,3,56,32,74,"TRUE","FALSE"
"10631",353,8,149,12,1,"TRUE","FALSE"
"10634",162,4,78,5,1,"TRUE","FALSE"
"10646",88,4,55,14,1,"TRUE","FALSE"
"10651",172,6,82,11,1,"TRUE","FALSE"
"10653",1415,26,1964,170,9,"TRUE","FALSE"
"10654",10,2,3,0,1,"FALSE","FALSE"
"10656",274,14,127,18,3,"TRUE","TRUE"
"10657",322,9,151,11,3,"TRUE","TRUE"
"10666",116,2,3,6,6,"TRUE","FALSE"
"10667",123,3,26,1,1,"TRUE","FALSE"
"10669",95,6,43,8,1,"TRUE","FALSE"
"10670",22,2,3,0,1,"FALSE","FALSE"
"10671",24,2,3,0,2,"FALSE","FALSE"
"10672",60,3,41,1,1,"TRUE","FALSE"
"10675",72,3,19,14,1,"TRUE","FALSE"
"10679",377,5,94,26,1,"TRUE","FALSE"
"10681",42,2,5,1,2,"FALSE","FALSE"
"10682",158,2,24,4,2,"TRUE","FALSE"
"10683",637,13,501,0,4,"TRUE","FALSE"
"10689",245,4,105,33,6,"TRUE","FALSE"
"10690",311,7,133,20,6,"TRUE","FALSE"
"10694",497,10,145,5,1,"TRUE","FALSE"
"10696",731,8,170,163,11,"TRUE","FALSE"
"10703",33,2,21,6,1,"TRUE","FALSE"
"10706",283,4,138,17,20,"TRUE","FALSE"
"10711",476,7,261,0,1,"TRUE","FALSE"
"10713",55,3,20,3,13,"TRUE","FALSE"
"10716",1009,16,620,109,9,"TRUE","FALSE"
"10720",133,3,11,9,1,"TRUE","FALSE"
"10727",463,10,145,5,4,"TRUE","FALSE"
"10728",74,2,14,2,1,"TRUE","FALSE"
"10731",175,3,32,47,2,"TRUE","FALSE"
"10737",77,6,103,59,6,"TRUE","FALSE"
"10741",42,2,3,2,1,"FALSE","FALSE"
"10749",1039,18,675,53,35,"TRUE","FALSE"
"10750",15,2,3,0,1,"FALSE","FALSE"
"10752",234,11,117,18,1,"TRUE","TRUE"
"10753",55,2,14,4,1,"TRUE","FALSE"
"10754",49,2,3,6,2,"TRUE","FALSE"
"10758",291,4,54,3,13,"TRUE","FALSE"
"10763",11,2,2,12,1,"FALSE","FALSE"
"10764",97,2,2,16,2,"TRUE","FALSE"
"10766",154,6,14,1,2,"TRUE","FALSE"
"10768",171,9,121,35,1,"TRUE","FALSE"
"10772",188,13,177,33,5,"TRUE","FALSE"
"10773",873,20,623,38,5,"TRUE","FALSE"
"10774",323,7,442,26,1,"TRUE","FALSE"
"10776",458,13,123,44,1,"TRUE","FALSE"
"10777",992,23,937,119,2,"TRUE","FALSE"
"10778",441,15,651,131,2,"TRUE","FALSE"
"10787",480,9,153,5,5,"TRUE","FALSE"
"10789",76,3,24,0,2,"TRUE","FALSE"
"10792",102,2,33,30,2,"TRUE","FALSE"
